name,lat,long
ACEH,4.695135,96.74939930000001
SUMATERA UTARA,2.1153547,99.5450974
SUMATERA BARAT,-0.7399397,100.80000509999999
RIAU,0.2933469,101.70682940000002
JAMBI,-1.4851831,102.43805809999999
SUMATERA SELATAN,-3.3194374,103.914399
BENGKULU,-3.5778471,102.3463875
LAMPUNG,-4.5585849,105.40680790000002
KEPULAUAN BANGKA BELITUNG,-2.7410513,106.4405872
KEPULAUAN RIAU,3.9456513999999996,108.1428669
DKI JAKARTA,-6.211544,106.84517199999999
JAWA BARAT,-7.090911,107.66888700000001
JAWA TENGAH,-7.150975,110.1402594
DI YOGYAKARTA,-7.8753849,110.4262088
JAWA TIMUR,-7.5360639,112.2384017
BANTEN,-6.4058172,106.0640179
BALI,-8.4095178,115.18891599999999
NUSA TENGGARA BARAT,-8.6529334,117.3616476
NUSA TENGGARA TIMUR,-8.6573819,121.07937050000001
KALIMANTAN BARAT,-0.2787808,111.47528510000001
KALIMANTAN TENGAH,-1.6814878,113.38235449999999
KALIMANTAN SELATAN,-3.0926415,115.28375849999999
KALIMANTAN TIMUR,1.6406296000000002,116.419389
KALIMANTAN UTARA,null,null
SULAWESI UTARA,0.6246932,123.97500179999999
SULAWESI TENGAH,-1.4300254,121.4456179
SULAWESI SELATAN,-3.6687994,119.9740534
SULAWESI TENGGARA,-4.14491,122.174605
GORONTALO,0.6999371999999999,122.44672379999999
SULAWESI BARAT,-2.8441371,119.23207839999999
MALUKU,-3.2384616,130.1452734
MALUKU UTARA,1.5709993,127.8087693
PAPUA BARAT,-1.3361154,133.1747162
PAPUA,-4.269928,138.0803529
